 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901   221.9   220.9   204.6   180.6    31.6    25.0     5.8     1.6    12.8    38.0    52.2   193.5   416.8    32.4   103.0   735.1  1188.6
 1902   347.8   193.8   266.7   123.9    54.8     2.8     2.9     2.6     5.3    11.9    69.4   135.0   445.4     8.4    86.6   552.2  1216.9
 1903   268.0   149.2   147.8   113.0    92.1     7.4     3.7     0.8     4.8     6.2    69.2   213.3   352.9    11.8    80.3   791.2  1075.5
 1904   331.2   246.7   254.7   132.1    82.7     8.5    13.2     0.5     4.3    27.0    37.6   331.2   469.5    22.2    68.9   854.7  1469.6
 1905   230.9   292.6   179.9    64.7     9.5     1.1     4.8     4.6     5.6    12.8   177.3   213.6   254.1    10.5   195.7   757.2  1197.3
 1906   303.1   240.5   204.3    60.7    46.8     2.6     9.9     1.2     3.2    30.6    71.6   146.3   311.9    13.7   105.4   592.4  1120.8
 1907   197.3   248.9   177.2   207.2    41.8    10.8     8.9     0.5     0.7    10.3    90.4   259.8   426.1    20.2   101.4   760.8  1253.7
 1908   224.6   276.3   174.1   156.7    30.4     8.5     6.8     3.5     1.7     9.1    87.8   269.9   361.1    18.7    98.7   742.9  1249.3
 1909   264.6   208.4   206.8    77.3    75.7    12.8     3.2     3.1     5.8    12.5    28.1    67.4   359.8    19.1    46.4   525.0   965.6
 1910   204.5   253.1   235.5   150.0    15.3     7.5     4.8     2.8     1.2    11.1    42.4   228.3   400.9    15.2    54.7   657.1  1156.7
 1911   211.7   217.1   182.9    84.7    68.0    16.8     4.6     2.5     4.6    14.4    60.7   172.8   335.6    23.8    79.7   575.6  1040.8
 1912   232.6   170.2   138.6    32.8    24.2    12.8     8.7     1.3     3.0    13.9    40.0   256.1   195.7    22.8    57.0   651.1   934.2
 1913   205.8   189.3   309.2   131.6    72.7    25.0     0.6     1.0     1.4     7.0    63.7   169.5   513.5    26.7    72.1   595.5  1176.9
 1914   213.9   212.0   208.4   155.1    10.2     7.6     8.6     5.5     1.3     8.3    78.2   132.4   373.7    21.7    87.8   555.1  1041.5
 1915   209.9   212.8   228.2    90.7    19.5    11.8     0.4     2.3     2.9     6.5    44.6   193.0   338.4    14.4    53.9   593.0  1022.5
 1916   220.7   179.3   164.3   152.2    37.6     6.7     0.5     1.0     3.1    18.6   124.7   305.9   354.1     8.2   146.3   713.3  1214.5
 1917   220.7   186.7   238.7   141.3    26.4     3.7     3.3     2.2     3.1    15.5    88.1   189.4   406.4     9.2   106.7   612.0  1119.1
 1918   222.0   200.7   228.2    77.1    27.7     8.4     5.9     6.7     0.0     2.8   100.8    89.4   333.0    21.0   103.6   603.9   969.7
 1919   261.0   253.5   158.8    47.5    31.9     1.9     2.4     1.1     2.6    27.2    49.6   174.1   238.2     5.3    79.5   607.6  1011.7
 1920   189.2   244.2   358.2    36.8    61.0    13.9     5.5     1.4     0.0    32.4    57.3   188.0   456.0    20.8    89.7   619.3  1188.0
 1921   201.4   229.9   245.3    92.0    32.6     2.9    11.7     5.8     3.2    20.9    79.7   217.6   369.9    20.4   103.8   537.7  1143.0
 1922   117.7   202.3   201.4    56.6    30.4     6.7     3.5     2.2     4.5    32.3    66.1   234.6   288.4    12.4   103.0   684.2   958.4
 1923   156.0   293.6   233.2   164.8    50.9     2.0     6.5     8.3     1.0    18.6    19.6   282.5   448.9    16.8    39.2   692.0  1237.1
 1924   194.2   215.2   190.6    43.4    14.5    12.9     5.6     3.1     0.1    13.0    64.4   115.8   248.5    21.6    77.5   685.5   872.8
 1925   306.6   263.1   253.4   168.6    45.6     6.8    14.0     1.7     7.4    19.1    89.4   216.2   467.5    22.6   115.9   766.6  1391.9
 1926   304.0   246.5   274.9   113.7    14.2     3.7     6.9     3.9     0.7     5.6    45.2   239.4   402.7    14.5    51.5   713.7  1258.5
 1927   247.7   226.6   249.6   169.1    13.4     8.9     6.4     0.9     0.2     4.9    25.8   216.8   432.2    16.2    30.9   556.8  1170.4
 1928   201.2   138.8   313.6   117.0    19.9     7.7     2.1     1.5     1.5    11.9    41.2   190.4   450.5    11.3    54.6   645.9  1046.7
 1929   282.7   172.8   273.0   111.3    10.3     1.1     4.7     5.7     0.0    21.5    45.9   197.4   394.6    11.5    67.4   598.9  1126.4
 1930   244.1   157.3   198.3   110.2    10.5     3.8     2.6     1.1    10.0     1.7    67.2   152.2   319.0     7.6    78.8   698.2   959.1
 1931   343.3   202.6   148.9   112.2    22.9     4.3     3.9     1.1     6.9     6.1   117.6   311.2   284.0     9.3   130.7   696.8  1281.2
