 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    23.4    23.1    23.4    22.1    20.3    18.0    17.6    19.2    21.3    23.7    24.5    23.9    22.0    18.3    23.1    23.4    21.7
 1902    23.2    23.2    23.1    22.8    20.4    18.9    18.7    20.0    22.2    23.5    24.7    24.2    22.1    19.2    23.5    23.7    22.1
 1903    23.4    23.5    23.3    22.8    20.9    18.8    17.9    19.8    22.7    24.5    24.4    23.5    22.3    18.8    23.9    23.0    22.1
 1904    22.8    22.6    22.2    22.4    19.9    18.8    17.5    19.3    20.9    23.8    24.5    23.1    21.5    18.5    23.1    23.3    21.5
 1905    23.4    23.3    22.6    21.7    20.2    19.5    17.6    19.8    22.4    25.1    24.9    24.2    21.5    18.9    24.1    23.6    22.0
 1906    23.9    22.8    22.6    21.6    20.4    18.3    17.9    18.9    21.4    23.7    24.1    23.8    21.5    18.3    23.1    23.3    21.6
 1907    23.2    22.8    23.0    21.9    20.1    18.1    17.1    18.3    21.2    24.1    24.4    24.0    21.7    17.8    23.2    23.4    21.5
 1908    23.3    22.9    23.1    22.5    19.5    18.6    17.9    19.7    21.9    24.8    24.9    24.1    21.7    18.7    23.9    23.5    21.9
 1909    23.2    23.3    23.1    22.1    20.1    18.1    18.0    19.4    21.5    24.2    24.4    24.1    21.8    18.5    23.4    23.4    21.8
 1910    23.1    23.1    23.0    21.8    19.7    18.2    17.5    19.2    21.2    23.4    24.4    23.8    21.5    18.3    23.0    23.2    21.5
 1911    22.9    22.8    22.6    21.5    20.2    17.7    17.0    18.8    20.7    24.3    24.7    25.0    21.4    17.8    23.2    24.2    21.5
 1912    24.0    23.7    22.7    22.7    21.4    18.3    17.5    18.8    21.8    23.8    25.8    23.4    22.3    18.2    23.8    23.4    22.0
 1913    23.4    23.4    22.9    22.4    20.5    17.9    18.4    19.7    22.0    24.9    25.4    24.3    21.9    18.6    24.1    23.9    22.1
 1914    24.1    23.1    24.1    23.8    21.0    19.1    17.8    19.7    22.8    25.4    25.6    24.5    23.0    18.9    24.6    23.8    22.6
 1915    23.6    23.3    23.2    23.0    20.2    19.0    19.1    19.6    22.3    25.3    25.5    24.6    22.2    19.2    24.4    24.3    22.4
 1916    23.6    24.7    24.1    22.8    20.3    18.8    18.2    19.1    22.2    25.5    24.6    24.2    22.4    18.7    24.1    24.0    22.3
 1917    23.7    24.2    23.6    22.5    21.3    19.2    18.4    19.5    21.5    24.7    25.1    23.1    22.5    19.1    23.8    22.8    22.2
 1918    22.2    22.9    22.9    21.3    19.7    17.8    17.8    17.9    21.8    25.6    25.1    24.2    21.3    17.8    24.2    23.6    21.6
 1919    23.5    23.0    23.2    23.0    19.3    18.3    17.9    18.8    21.6    23.5    24.5    24.3    21.9    18.4    23.2    24.1    21.8
 1920    24.2    23.8    23.2    21.8    21.0    18.7    18.1    19.4    22.9    25.3    25.4    24.7    22.0    18.7    24.5    24.2    22.4
 1921    23.9    23.9    23.8    22.4    20.3    19.0    17.8    18.8    21.6    24.7    24.6    23.9    22.2    18.5    23.6    23.8    22.1
 1922    24.2    23.4    24.6    22.9    21.0    19.3    18.2    20.9    22.4    24.2    25.5    24.7    22.8    19.5    24.0    23.9    22.6
 1923    23.7    23.2    23.2    22.6    20.5    18.9    18.1    19.4    21.8    24.7    26.3    24.3    22.1    18.8    24.3    23.7    22.2
 1924    23.2    23.6    24.0    21.7    21.0    19.2    17.9    19.2    22.0    24.3    24.9    23.7    22.2    18.8    23.7    23.1    22.0
 1925    22.8    23.0    23.2    22.7    20.3    19.0    17.9    19.0    20.5    23.7    25.3    24.9    22.1    18.6    23.2    24.2    21.9
